"Name","year","month","TEMP","TP","TN","SI","CHLcal","openwater","Devl","Decid","MixedEvergreen","PastureHay","CultCrops","Wetlands","Basin_Size_km2"
"Apple",1998,1,0.1,0.0735,5.382,3.9265,2.14164,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"Maquotketa",1998,1,0.2,0.1,7.197,5.081,1.44356,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Wapsipinicon",1998,1,0.2,0.078,7.536,4.726,8.7734,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",1999,1,0.1,0.4045,5.584,3.9045,4.3502,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",1999,1,0.1,0.0745,1.5845,5.356,1.59932,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",1999,1,0.1,0.069,5.081,5.227,4.47524,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",1999,1,0.1,0.04,1.905,5.911,3.22484,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",1999,1,1.5,0.184,2.8155,3.2895,2.0578,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",1999,1,2.1,0.32,3.111,3.624,3.85004,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",1999,1,0.2,0.2815,7.008,5.36,3.55828,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",1999,1,0,0.169,4.586,6.943,3.22484,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",1999,1,0.2,0.166,6.1325,5.418,3.18316,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2000,1,0.2,0.094,3.359,3.384,1.88768,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
