fracYear,Apple,BlackRiver,Cannon,Chippewa,Cuivre,Dardenne,Maquotketa,Vermillion,Wapsipinicon
1998.0833333333333,2.14164,NA,NA,NA,NA,NA,1.44356,NA,8.7734
1998.1666666666667,5.80656,NA,NA,NA,NA,NA,11.04216,NA,6.5919
1998.25,4.19225,NA,NA,NA,NA,NA,3.9741,NA,5.37026
1998.3333333333333,8.157355,NA,NA,NA,NA,NA,7.95992,NA,3.395345
1998.4166666666667,13.911175,NA,NA,NA,NA,NA,22.23165,NA,82.53394
1998.5,22.90329,NA,NA,NA,NA,NA,10.013325,NA,13.93939
1998.5833333333333,62.2903266666667,NA,NA,NA,NA,NA,68.0371266666667,NA,106.540686666667
1998.6666666666667,16.52345,NA,NA,NA,NA,NA,103.4438,NA,285.18635
1998.75,7.3448,51.99668,26.48132,52.3586,42.13436,9.29012,45.5726,53.7158,237.20924
1998.8333333333333,3.047,8.34008,87.46484,33.99116,19.92152,12.3212,2.68508,47.47268,71.54036
1998.9166666666667,2.41364,8.29484,43.35584,24.03836,14.0554,9.19964,1.37312,49.14656,3.2732
1999,2.70242666666667,4.84838666666667,41.01748,11.31076,50.07316,4.39188,4.39188,25.28792,4.9754
1999.0833333333333,4.3502,1.59932,4.47524,3.22484,2.0578,3.85004,3.55828,3.22484,3.18316
1999.1666666666667,6.05908,2.4746,7.60124,5.05876,2.22452,6.97604,2.80804,2.30788,3.01644
1999.25,4.47524,5.85068,31.90068,8.44873333333333,11.778245,18.18321,5.1838,36.4299066666667,10.85228
1999.3333333333333,8.048745,11.872215,20.02635,13.15971,12.028275,9.64836,18.93393,28.60965,25.449435
1999.4166666666667,6.332085,17.52939,29.897145,21.547935,16.866135,50.575095,8.204805,18.15363,15.50061
1999.5,14.0559433333333,36.3931833333333,22.25188,9.334855,34.77402,24.246565,26.5962233333333,23.161255,11.180125
1999.5833333333333,37.63691,19.5029,16.84496,14.57285,39.16594,46.2252,45.01055,24.30434,79.89244
1999.6666666666667,16.11617,14.74433,13.0724,20.789,42.26687,23.87564,35.45054,39.85186,82.73615
1999.75,32.887975,22.87165,11.36965,23.06335,42.664675,41.418625,37.345,42.5209,95.2384
1999.8333333333333,7.583575,29.38945,11.2738,22.67995,30.300025,9.26095,9.883975,23.63845,90.973075
1999.9166666666667,23.015425,14.56465,8.9734,16.018375,67.777375,23.7343,67.92115,19.948225,80.95675
2000,4.23524,3.58672,18.2926966666667,8.55355,80.0299833333333,2.81088666666667,9.94859,6.44558666666667,34.06764
2000.0833333333333,1.88768,2.96512,21.77888,2.2192,74.90496,10.25856,5.61728,5.12,17.9664
2000.1666666666667,5.20288,2.05344,5.12,4.78848,44.73664,5.36864,2.4264,2.05344,11.99904
2000.25,8.76672,3.048,12.82784,2.30208,8.76672,17.552,5.57584,26.17152,36.4072
2000.3333333333333,89.07058,17.60854,74.50814,16.83702,2.17814,7.96454,87.38288,118.7741,131.21486
2000.4166666666667,1.74635,29.75998,6.80726,25.32374,14.66931,6.32506,13.8152333333333,175.1915,73.2222733333333
2000.5,12.4233,9.65624,19.455435,18.49455,5.21875,9.59005,16.06605,74.320405,5.906825
2000.5833333333333,19.2231,18.17075,22.54205,10.23765,29.34185,25.61815,49.57935,52.2507,142.429
2000.6666666666667,36.78925,20.3564,6.9187,16.87555,147.85265,12.4233,27.07525,74.99765,158.740425
2000.75,15.7718,10.7528,3.0092,5.9489,25.7381,8.5301,25.0211,24.806,107.94215
2000.8333333333333,2.6507,12.4736,1.862,23.372,0.1412,7.4546,5.1841,17.9945,91.7499
2000.9166666666667,NA,1.7903,0.2129,2.4356,NA,0.9299,2.25635,8.0282,71.4827
2001,5.50282,3.1931,4.18298,3.02812,4.67792,3.11061,6.57519,5.91527,16.22652
2001.0833333333333,NA,NA,3.1931,2.69816,2.94563,3.52306,2.69816,NA,1.17904
2001.1666666666667,NA,NA,4.18298,NA,3.1931,5.83278,3.481815,2.94563,2.78065
2001.25,2.86314,2.3682,4.76041,3.27559,4.10049,NA,4.18298,3.1931,4.67792
2001.3333333333333,3.32107,13.761955,36.97667,7.37504,44.09024,25.35019,3.741765,12.04093,7.75749
2001.4166666666667,42.48395,11.12305,29.93959,17.509965,21.410955,39.57733,31.46939,28.40979,77.43988
2001.5,5.19003,7.28063,17.6291,15.32944,21.18312,36.4445,27.55945,22.12389,163.291655
2001.5833333333333,26.30509,21.18312,17.10645,30.59082,41.35741,121.63645,170.55649,47.00203,106.06148
2001.6666666666667,2.15866,42.61177,3.30849,17.00192,63.20418,46.8975,15.52712,56.61879,231.549745
2001.75,33.61321,8.87192,5.2763,17.86097,19.83,46.71154,21.37098,32.50028,93.583015
2001.8333333333333,3.47849,10.24168,19.48756,10.15607,3.13605,7.75899,6.67459666666667,22.3983,175.89703
2001.9166666666667,8.52948,6.56045,37.8081,17.17609,83.01018,6.64606,9.72802,22.48391,100.13218
2002,5.15546,3.01794,7.36932,4.31572,9.4305,4.31572,2.71258,9.8122,20.00359
2002.0833333333333,NA,1.26212,6.30056,2.78892,NA,2.63624,2.44539,7.98004,3.66683
2002.1666666666667,NA,2.25454,7.522,1.7965,2.40722,5.9952,2.5599,2.9416,5.72801
2002.25,1.49114,3.78134,8.51442,4.54474,7.75102,9.0488,4.35389,10.27024,10.53743
2002.3333333333333,6.03365,4.47865,10.1544,5.10065,4.7119,12.9534,17.735025,25.0824,57.854025
2002.4166666666667,7.1999,28.9699,27.33715,14.1974,18.16265,21.855775,17.2555666666667,60.76965,73.1059833333333
2002.5,35.81914,25.76646,9.15046,10.56282,59.49694,106.6033,45.24872,21.61246,26.8465
2002.5833333333333,34.48986,58.33382,9.15046,25.43414,35.65298,14.71682,12.84752,17.87386,170.5749
2002.6666666666667,4.74722,25.76646,18.62158,20.44934,38.4777,15.46454,64.4402,42.29938,183.4523
2004,NA,2.37413,2.88698,6.43748,1.74293,3.99158,6.59528,13.93298,9.90908
2004.0833333333333,1.78238,NA,11.64488,3.83378,NA,3.91268,0.99338,8.40998,4.46498
2004.1666666666667,7.30538,1.54568,2.17688,4.54388,3.83378,7.62098,13.38068,1.30898,10.14578
2004.25,7.30538,NA,5.01728,2.88698,14.5044,2.35488,8.01548,16.45778,10.30358
2004.3333333333333,8.86984,2.35488,44.70212,1.38644,2.619,12.83164,24.1888,97.17396,66.0078
