year,month,fracYear,Apple,BlackRiver,Cannon,Chippewa,Cuivre,Dardenne,Maquotketa,Vermillion,Wapsipinicon
1998,1,1998.0833333333333,0.1,NA,NA,NA,NA,NA,0.2,NA,0.2
1998,2,1998.1666666666667,3.65,NA,NA,NA,NA,NA,4.2,NA,3.95
1998,3,1998.25,3.65,NA,NA,NA,NA,NA,3.25,NA,5.65
1998,4,1998.3333333333333,11.45,NA,NA,NA,NA,NA,10.75,NA,11.1
1998,5,1998.4166666666667,18.9,NA,NA,NA,NA,NA,18.35,NA,19.9
1998,6,1998.5,19.8,NA,NA,NA,NA,NA,19.5,NA,22.9
1998,7,1998.5833333333333,23.86666667,NA,NA,NA,NA,NA,24.06666667,NA,25.9
1998,8,1998.6666666666667,23.25,NA,NA,NA,NA,NA,24.35,NA,24.5
1998,9,1998.75,19.15,15.5,18.1,20.55,24.5,21.4,20.15,19.8,20.6
1998,10,1998.8333333333333,11.8,11.6,9.4,11,18.8,17.8,10.1,10.5,13.55
1998,11,1998.9166666666667,7.95,7.15,5.55,5.6,11.86666667,12.73333333,8.1,5.6,7.35
1998,12,1999,3.733333333,2.966666667,4.75,2.733333333,4.8,6.2,3.766666667,5,4.633333333
1999,1,1999.0833333333333,0.1,0.1,0.1,0.1,1.5,2.1,0.2,0,0.2
1999,2,1999.1666666666667,3,0.1,0.45,0.1,4.3,7.9,3.05,0.4,1.85
1999,3,1999.25,4,1.9,3.7,4.766666667,6.25,5.7,4.25,5.4,4.55
1999,4,1999.3333333333333,10.55,9.45,9.3,9.4,13.1,13.35,10.7,10,11
1999,5,1999.4166666666667,16.05,16,15.6,16.65,20.45,21.4,16.45,16,17.3
1999,6,1999.5,20.4,20.4,17.8,19.1,24.1,23.75,21.06666667,18.95,19.35
1999,7,1999.5833333333333,26.15,26.3,21.6,23.15,28.93333333,28.96666667,26.2,23.25,26.2
1999,8,1999.6666666666667,24.45,20.9,21.9,22.8,28.3,26.8,23.25,24.43333333,22.95
1999,9,1999.75,18.8,19.05,14.9,17.4,23.55,22.55,18.2,16.4,18.8
1999,10,1999.8333333333333,10.85,9.25,8.4,9.4,16,14.45,9.85,8.6,11.5
1999,11,1999.9166666666667,6.9,4.866666667,5.6,6.2,13,13.6,6.25,6.15,6.2
1999,12,2000,1.266666667,0.8,0.866666667,1.766666667,5.766666667,5.433333333,1.7,0.7,2.233333333
2000,1,2000.0833333333333,0.2,0.1,0.1,0.1,4,7.3,0.15,0,0.15
2000,2,2000.1666666666667,0.1,0,-0.1,-0.1,3.8,4.4,0.2,0,0.15
2000,3,2000.25,9.9,4.4,7.9,5.9,10.3,10.5,9,9.5,10.6
2000,4,2000.3333333333333,10.9,11,8,6.7,13.9,14.8,10.95,9.4,12.2
2000,5,2000.4166666666667,18,17.5,18.9,16.5,20.65,21.3,18.26666667,23,18.36666667
2000,6,2000.5,21.3,19,18.6,21,22.8,23.8,19.35,20.6,20.55
2000,7,2000.5833333333333,21.5,19.4,20.7,24.5,26.1,26.1,23.25,23.4,24.6
2000,8,2000.6666666666667,22.2,20.5,22,22.8,26.4,23.3,22.75,23.9,24.35
2000,9,2000.75,19.9,14.7,17.8,17.6,24.8,21.1,20.1,18.2,19.15
2000,10,2000.8333333333333,13.3,12.7,NA,12.9,15.2,15.6,14,13.6,14.76666667
2000,11,2000.9166666666667,2.9,2.9,2.2,5.1,6.2,6.2,1.65,1.5,2.3
2000,12,2001,0.1,0.3,-0.1,-0.1,3,5.1,0.25,0.1,0.2
2001,1,2001.0833333333333,0,0.2,-0.1,NA,0.4,0.8,0.2,0,0.2
2001,2,2001.1666666666667,0.1,0.2,-0.1,-0.1,1.1,3,0.15,0,0.1
2001,3,2001.25,2.6,0.1,-0.1,-0.1,5.6,NA,2.9,0,2.95
2001,4,2001.3333333333333,8.1,10.15,3,2.2,10.2,11.3,9.95,5.5,8.55
2001,5,2001.4166666666667,17.8,16.5,NA,15.45,21.2,20.6,17.93333333,NA,17.36666667
2001,6,2001.5,22,22.4,25.3,24.5,27.9,25.8,21.65,25,24.35
2001,7,2001.5833333333333,26.8,24.5,24.1,26.5,31,NA,28.7,28.2,26.15
2001,8,2001.6666666666667,24.2,20.8,22.4,22.9,27.8,26,25.25,25.8,29.2
2001,9,2001.75,16.9,17,15.9,17.2,22.9,21.2,20.05,17.2,20.85
2001,10,2001.8333333333333,10.1,10.3,10,11.5,10.8,12.1,12.46666667,10.3,12.8
2001,11,2001.9166666666667,10.9,11.2,9.8,8.1,11.8,13.3,9.55,9.7,7.75
2001,12,2002,3.1,2.2,2.7,2.7,7.6,7.1,1,2.1,2.15
2002,1,2002.0833333333333,0,-0.1,-0.1,-0.2,0.4,1.3,-0.2,0.2,-0.2
2002,2,2002.1666666666667,0.4,0.6,-0.2,-0.1,2.8,2.7,2.35,0.5,1.65
2002,3,2002.25,0.3,-0.1,-0.2,0,0.7,0.1,3.35,0,4.4
2002,4,2002.3333333333333,5.4,5.65,4,1.3,11.7,12.5,11.35,3.4,10.45
2002,5,2002.4166666666667,17.1,20.9,15.15,13.2,18.4,19.75,16.06666667,16.1,15.16666667
2002,6,2002.5,24.9,23.5,21.9,23.5,28.3,27.5,22.5,23.6,23.9
2002,7,2002.5833333333333,25.1,26,26,28.5,28.9,28.2,24.25,27,26.6
2002,8,2002.6666666666667,22.2,23.1,19.5,22.9,29.2,26.6,24.4,21.9,24.3
2002,9,2002.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,10,2002.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,11,2002.9166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
