"TOA5","GREON 03","CR1000","64170","CR1000.Std.27","CPU:GREON3_2015-04-28.CR1","9050","WQData"
"TIMESTAMP","RECORD","YSI_Temp_C","YSI_Cond_uScm","YSI_SpCond_uScm","YSI_Sal_PSU","YSI_ODO_Sat","YSI_ODO_mgL","YSI_Turb_FNU","YSI_TSS_mgL","YSI_Chl_RFU","YSI_Chl_ugL","YSI_BGAPC_RFU","YSI_BGAPC_ugL","YSI_fDOM_RFU","YSI_fDOM_QSU","YSI_Batt_V","YSI_CablePwr_V","YSI_WiperPos_V","SUNA_Nitrate_uM","SUNA_Nitrate_mgL","SUNA_LightAve","SUNA_DarkAve"
"TS","RN","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-06-30 17:53:00",0,27.09,238.38,229.22,0.11,96.74,7.69,3.14,0,0.4,1.59,0.56,0.76,0.21,-0.07,0,12.82,0.77,4.03,0.0564,17147,1276
"2015-06-30 18:06:20",1,26.38,398.18,387.98,0.18,81,6.52,2.92,0,0.08,0.31,0.01,0.22,4.94,14.14,0,12.65,0.76,466,6.53,15365,1291
"2015-07-01 11:37:30",2,23.35,424.91,438.74,0.21,83.59,7.12,7.76,0,1.39,5.56,0.4,0.6,42.04,125.43,0,13.41,1.14,178,2.49,13274,1077
"2015-07-01 12:37:30",3,23.45,427.8,440.83,0.21,83.43,7.09,8.28,0,1.39,5.54,0.33,0.53,41.81,124.75,0,13.33,1.15,178,2.49,13237,1074
"2015-07-01 13:37:30",4,23.56,430.39,442.56,0.21,84.12,7.13,8.48,0,1.55,6.21,0.8,1,41.47,123.74,0,13.33,1.15,180,2.52,13187,1070
"2015-07-01 14:37:30",5,23.67,429.89,441.08,0.21,85.06,7.2,8.08,0,1.47,5.89,0.37,0.57,41.41,123.55,0,13.51,1.15,179,2.51,12989,1068
"2015-07-01 15:37:30",6,23.74,432.56,443.2,0.21,86.54,7.31,8.25,0,1.61,6.42,0.34,0.55,41.16,122.79,0,13.3,1.15,181,2.54,13111,1070
"2015-07-01 16:37:30",7,23.84,434.57,444.43,0.21,87.71,7.4,7.96,0,1.64,6.54,0.38,0.58,40.97,122.23,0,13.18,1.15,182,2.56,13155,1070
"2015-07-01 17:37:30",8,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2015-07-01 18:37:30",9,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2015-07-01 19:37:30",10,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2015-07-01 20:37:30",11,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2015-07-01 21:37:30",12,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2015-07-01 22:37:30",13,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2015-07-01 23:37:30",14,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
