"","ï..Month","Year","Apple","Cannon","Chippewa","BlackRiver","Cuivre","Maquotketa","Vermillion","Wapsipinicon"
"1",1,1998,3.028075668,11.59255152,112.2534597,18.7439254,26.13827609,16.0245947,NA,27.47190821
"2",2,1998,5.534932149,20.50847598,199.4315037,50.18048571,54.4300353,24.99770745,2.542448278,47.6228677
"3",3,1998,11.5176489,43.39145655,390.8272867,97.93975057,78.05949753,51.95684585,4.436610413,106.5352836
"4",4,1998,17.5838177,92.93588978,509.1274588,120.4598645,31.81775247,124.1788103,7.966472778,197.0852507
"5",5,1998,6.064372356,41.60749523,126.7772615,26.53927917,6.847196141,52.16693858,4.791941163,71.46806645
"6",6,1998,9.08498821,68.19829279,168.3153348,95.19840581,40.51008042,99.15615703,7.626670622,157.8569796
"7",7,1998,4.948140541,44.65201294,114.4000593,62.63777761,49.54808702,39.30560965,6.698304336,95.59310611
"8",8,1998,4.500551679,19.68203512,91.82879243,28.3762204,3.061873194,35.2069745,4.114163743,31.97702712
"9",9,1998,3.836932683,10.66412434,81.30710487,16.96839824,0.710847233,30.78607537,2.501321429,33.4346444
"10",10,1998,6.516528451,15.3157601,102.2512188,19.57972909,13.6907385,61.14429233,2.627072586,90.23939525
"11",11,1998,5.226345945,20.7354827,129.4457437,26.87740668,38.60058107,42.73012117,2.442799947,79.35324247
"12",12,1998,3.212591893,13.32261949,100.6983595,17.78663331,2.275395623,21.72724218,1.57934927,32.0802466
"13",1,1999,4.536176099,10.09358556,98.37820496,13.61948966,47.42797733,9.289752502,1.079693949,12.35893327
"14",2,1999,7.080222908,16.76256173,138.2064366,29.47783707,59.19636733,42.80900381,1.602935768,60.15307221
"15",3,1999,4.548964352,25.80486806,173.518327,40.72510576,35.12567775,28.8402513,3.254610439,45.44397119
"16",4,1999,18.61171922,74.17125959,325.0113237,118.1945167,40.07777656,73.81541122,6.029600487,107.3114088
"17",5,1999,15.84281882,83.35200746,401.9804704,79.05880817,20.70509538,95.31815866,5.622264174,194.0891457
"18",6,1999,10.29034197,44.69908589,180.623724,25.49837626,7.312353627,68.93264301,3.143169947,125.4341905
"19",7,1999,4.314208561,34.64063758,224.8540291,87.51458387,4.068491411,47.42615043,3.700372408,117.2865508
"20",8,1999,2.418806748,23.19149718,229.1380939,42.86805162,0.405022248,31.81534707,2.324721742,84.42987451
"21",9,1999,1.682964569,18.4125574,131.9470651,20.24465736,0.072774295,20.32300064,1.749037211,22.92248714
